,Values,Price
147,4.778643256500877,5000
148,4.778588122850831,10000
149,4.778506329007099,50000
150,4.778397071724341,100000
151,4.778366773219702,500000
152,4.778235406460508,1000000
153,4.778240617200153,100
154,4.778242080531417,500
155,4.778243632879015,1000
156,4.778226926685837,5000
157,4.778226725625474,10000
158,4.778213300695155,50000
159,4.778192981077892,100000
160,4.778204219171553,500000
161,4.77786908957369,1000000
162,4.777866930269457,100
163,4.777863654676574,500
164,4.777864443862824,1000
165,4.777867765849026,5000
166,4.777876593077509,10000
167,4.777883122888499,50000
168,4.777831121626023,100000
169,4.7779197936635605,500000
170,4.7778757386007005,1000000
171,4.777872809878207,100
172,4.777871041332491,500
173,4.77786451049627,1000
174,4.777851046246767,5000
175,4.777822056679804,10000
176,4.777874121577531,50000
177,4.7779993978015645,100000
178,4.7780114344797635,500000
179,4.777755092970146,1000000
180,4.777754001535825,100
181,4.777754501549159,500
182,4.777756406323317,1000
183,4.777763266271044,5000
184,4.777770341640572,10000
185,4.77768263414602,50000
186,4.7775638115571075,100000
187,4.777630479154933,500000
188,4.777787147198765,1000000
189,4.777786663611107,100
190,4.777788046418071,500
191,4.777778346404107,1000
192,4.777792043129461,5000
193,4.777777166090668,10000
194,4.7777805216713585,50000
195,4.77774724279431,100000
196,4.778098764075717,500000
197,4.7781846660624705,1000000
198,4.778186761054181,100
199,4.778189484868262,500
200,4.778181509213592,1000
201,4.778182006593324,5000
202,4.778169994145107,10000
203,4.778192892826459,50000
204,4.778319045855151,100000
205,4.778549649782809,500000
206,4.778862249847568,1000000
207,4.77886419025843,100
208,4.778859143819709,500
209,4.7788566122543035,1000
210,4.778852238924538,5000
211,4.7788540518758955,10000
212,4.778875274466569,50000
213,4.7789180852844435,100000
214,4.778776327872164,500000
215,4.77862539277638,1000000
216,4.778624288929314,100
217,4.778623273803262,500
218,4.778613016259419,1000
219,4.778634839397649,5000
220,4.778595819513907,10000
221,4.778562878577367,50000
222,4.778574562468809,100000
223,4.778600487448902,500000
224,4.778676637196488,1000000
225,4.7786803289729916,100
226,4.778685630421573,500
227,4.77867419537835,1000
228,4.778659822900119,5000
229,4.778643042536973,10000
230,4.778528214569665,50000
231,4.778582815865057,100000
232,4.7785269814495885,500000
233,4.778696346423266,1000000
234,4.778695663134221,100
235,4.778690547161081,500
236,4.778694394975535,1000
237,4.778697179141772,5000
238,4.7787014109490675,10000
239,4.778719676365292,50000
240,4.77873818908802,100000
241,4.778770497743618,500000
242,4.778397095877928,1000000
243,4.778397171746923,100
244,4.778394417131707,500
245,4.778394862598309,1000
246,4.778393833307385,5000
247,4.778394654521583,10000
248,4.778458208299142,50000
249,4.7785674931134325,100000
250,4.778658270340672,500000
251,4.778705945468348,1000000
252,4.778708073880934,100
253,4.7787051269529295,500
254,4.778699312512478,1000
255,4.778702388226718,5000
256,4.77871769406558,10000
257,4.778713377139733,50000
258,4.778779573778884,100000
259,4.778715602748232,500000
260,4.7787929521924735,1000000
261,4.778796406647621,100
262,4.778800395190568,500
263,4.778806724000451,1000
264,4.778810127790607,5000
265,4.778835882331476,10000
266,4.778827180593407,50000
267,4.778857903849109,100000
268,4.7789347961689215,500000
269,4.778979535709165,1000000
270,4.7789800585416335,100
271,4.778979704588372,500
272,4.778969046067951,1000
273,4.778956114887319,5000
274,4.778982141569286,10000
275,4.77897169017853,50000
276,4.779006448852101,100000
277,4.779064670395762,500000
278,4.779001464102059,1000000
279,4.779001568316739,100
280,4.77899815319235,500
281,4.779001293047071,1000
282,4.778986844959107,5000
283,4.778973490986599,10000
284,4.779043685636031,50000
285,4.779020243810506,100000
286,4.7789845991144855,500000
287,4.778699455486237,1000000
288,4.778697175189466,100
